Model,Metric,Bootstrap_Mean,Bootstrap_SD,Bootstrap_Median,CI_2_5,CI_97_5,Point_Estimate,Bootstrap_Bias
Decision_Tree,Accuracy,0.9073449781659388,0.018662562435045053,0.9082969432314411,0.868995633187773,0.9432314410480349,0.9082969432314411,-0.0009519650655022138
Decision_Tree,Class0_Sensitivity,0.890625,0.027771990137798776,0.8916666666666667,0.8333333333333334,0.9416666666666667,0.8916666666666667,-0.0010416666666667185
Decision_Tree,Class0_Specificity,0.9257522935779816,0.023645877315368657,0.926605504587156,0.8807339449541285,0.9724770642201835,0.926605504587156,-0.0008532110091743483
Decision_Tree,Class1_AUC,0.9325832708177044,0.020759804331141492,0.9333270817704427,0.8868810952738184,0.9676856714178544,0.9334833708427107,-0.0009001000250062896
Decision_Tree,Class1_F1,0.7669593695748192,0.045605829613045476,0.7692307692307693,0.6741511968734734,0.8505747126436781,0.7692307692307693,-0.002271399655950024
Decision_Tree,Class1_NPV,0.95545081598132,0.013647612071586268,0.9558011049723757,0.9273743016759777,0.9826614510663743,0.9558011049723757,-0.00035028899105571387
Decision_Tree,Class1_PPV,0.7293858226765741,0.053107359077581184,0.7291666666666666,0.6304347826086957,0.8333333333333334,0.7291666666666666,0.00021915600990751738
Decision_Tree,Class1_Sensitivity,0.8117906976744187,0.059939549473841475,0.813953488372093,0.6976744186046512,0.9302325581395349,0.813953488372093,-0.0021627906976743327
Decision_Tree,Class1_Specificity,0.9294354838709676,0.01791741299212827,0.9301075268817204,0.8924731182795699,0.9623655913978495,0.9301075268817204,-0.0006720430107527431
Decision_Tree,Class2_Sensitivity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Decision_Tree,Class2_Specificity,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Decision_Tree,Kappa,0.8492721438120717,0.030021972381055657,0.8507495111883554,0.789252351059547,0.9067151317644847,0.8507495111883554,-0.001477367376283678
Decision_Tree,Macro_AUC,0.9637867018933632,0.011151252693470951,0.9641862443821965,0.9392375057640557,0.982642165701976,0.9642701959893643,-0.0004834940960010137
