Model,Class,Calibration_Intercept,Calibration_Slope,Brier_Score
Softmax_LR,0,1.2269834919346143,0.9358581286644746,0.0693629026789555
Softmax_LR,1,-1.2377659965598544,0.9582868002613874,0.07019694235277847
Softmax_LR,2,17.399836892082064,12.255207999073916,0.0008356629104691606
SVM,0,0.27707734398680633,1.0912848605056849,0.05310783251235174
SVM,1,-0.1715871412054851,1.1583811806751663,0.05859535733352447
SVM,2,4.833601203542173,7.378636305078409,0.0055476438832322335
Decision_Tree,0,0.9201577906037425,0.7369094236428355,0.08149359065888143
Decision_Tree,1,-0.9866631532887526,0.7071436375310126,0.08141968663571039
Decision_Tree,2,14.759685097767905,2.9696149211358835,7.390402317104649e-05
Random_Forest,0,1.1339087699129702,1.2275644322623573,0.0726553665085258
Random_Forest,1,-0.9869455141277416,1.3256044046212445,0.0735482977859618
Random_Forest,2,14.020929433538672,22.533231744261982,0.002546274057392963
XGBoost,0,0.9365047373619972,0.8976011930426784,0.06428779568992211
XGBoost,1,-0.9183215387013293,0.883023411530615,0.06396844937029528
XGBoost,2,-1.147805033716695,5.204691408058378,1.615678238397817e-05
LightGBM,0,0.6968047315613872,0.6576204956376259,0.060111511982418445
LightGBM,1,-0.6984607316987452,0.6594556985009593,0.06011150631131381
LightGBM,2,-4.160192132139014,4.055261431221516,1.3758431380274314e-06
MLP,0,1.1539475092830491,0.998521164343146,0.06619891695918476
MLP,1,-1.0267747241185576,1.123026273105803,0.0689844847053751
MLP,2,18.137086511796245,31.362981606475113,0.003196267947501327
