Bootstrap,Model,Metric,Value
1,MLP,Class1_Sensitivity,0.9302325581395349
1,MLP,Class1_Specificity,0.9247311827956989
1,MLP,Class2_Sensitivity,1.0
1,MLP,Class2_Specificity,1.0
1,MLP,Class1_AUC,0.9419854963740936
1,MLP,Class1_F1,0.8247422680412371
1,MLP,Class1_PPV,0.7407407407407407
1,MLP,Class1_NPV,0.9828571428571429
2,Softmax_LR,Accuracy,0.9082969432314411
2,Softmax_LR,Kappa,0.854910242872228
2,Softmax_LR,Macro_AUC,0.984536711394974
2,Softmax_LR,Macro_F1,0.9006487004223084
2,Softmax_LR,Weighted_F1,0.9123692632237754
2,Softmax_LR,Macro_Sensitivity,0.93171834625323
2,Softmax_LR,Macro_Specificity,0.9598336128374602
2,Softmax_LR,Class0_Sensitivity,0.8416666666666667
2,Softmax_LR,Class0_Specificity,0.981651376146789
2,Softmax_LR,Class1_Sensitivity,0.9534883720930233
2,Softmax_LR,Class1_Specificity,0.8978494623655914
2,Softmax_LR,Class2_Sensitivity,1.0
2,Softmax_LR,Class2_Specificity,1.0
2,Softmax_LR,Class1_AUC,0.9711177794448612
2,Softmax_LR,Class1_F1,0.7961165048543689
2,Softmax_LR,Class1_PPV,0.6833333333333333
2,Softmax_LR,Class1_NPV,0.9881656804733728
2,SVM,Accuracy,0.9082969432314411
2,SVM,Kappa,0.8537542195055196
2,SVM,Macro_AUC,0.9856872912056885
2,SVM,Macro_F1,0.8976647173358474
2,SVM,Weighted_F1,0.9126636177370014
2,SVM,Macro_Sensitivity,0.922198731501057
2,SVM,Macro_Specificity,0.9585676235572654
2,SVM,Class0_Sensitivity,0.8666666666666667
2,SVM,Class0_Specificity,0.9724770642201835
2,SVM,Class1_Sensitivity,0.9302325581395349
2,SVM,Class1_Specificity,0.9032258064516129
2,SVM,Class2_Sensitivity,0.9696969696969697
2,SVM,Class2_Specificity,1.0
2,SVM,Class1_AUC,0.9709927481870467
2,SVM,Class1_F1,0.7920792079207921
2,SVM,Class1_PPV,0.6896551724137931
2,SVM,Class1_NPV,0.9824561403508771
2,Decision_Tree,Accuracy,0.9213973799126638
2,Decision_Tree,Kappa,0.8741758241758242
2,Decision_Tree,Macro_AUC,0.9824709044233536
2,Decision_Tree,Macro_F1,0.9124597207303974
2,Decision_Tree,Weighted_F1,0.924141295221835
2,Decision_Tree,Macro_Sensitivity,0.935077519379845
2,Decision_Tree,Macro_Specificity,0.9639439676432869
2,Decision_Tree,Class0_Sensitivity,0.875
2,Decision_Tree,Class0_Specificity,0.9724770642201835
2,Decision_Tree,Class1_Sensitivity,0.9302325581395349
2,Decision_Tree,Class1_Specificity,0.9193548387096774
2,Decision_Tree,Class2_Sensitivity,1.0
2,Decision_Tree,Class2_Specificity,1.0
2,Decision_Tree,Class1_AUC,0.9673668417104276
2,Decision_Tree,Class1_F1,0.8163265306122449
2,Decision_Tree,Class1_PPV,0.7272727272727273
2,Decision_Tree,Class1_NPV,0.9827586206896551
2,Random_Forest,Accuracy,0.9213973799126638
2,Random_Forest,Kappa,0.8747645378866136
2,Random_Forest,Macro_AUC,0.9875127803357567
2,Random_Forest,Macro_F1,0.9134513274336283
2,Random_Forest,Weighted_F1,0.9244649688912935
2,Random_Forest,Macro_Sensitivity,0.9400516795865633
2,Random_Forest,Macro_Specificity,0.9652099569234815
2,Random_Forest,Class0_Sensitivity,0.8666666666666667
2,Random_Forest,Class0_Specificity,0.981651376146789
2,Random_Forest,Class1_Sensitivity,0.9534883720930233
2,Random_Forest,Class1_Specificity,0.9139784946236559
2,Random_Forest,Class2_Sensitivity,1.0
2,Random_Forest,Class2_Specificity,1.0
2,Random_Forest,Class1_AUC,0.9759939984996249
2,Random_Forest,Class1_F1,0.82
2,Random_Forest,Class1_PPV,0.7192982456140351
2,Random_Forest,Class1_NPV,0.9883720930232558
2,XGBoost,Accuracy,0.9301310043668122
2,XGBoost,Kappa,0.8886795892325454
2,XGBoost,Macro_AUC,0.9906229041969973
2,XGBoost,Macro_F1,0.9230678466076695
2,XGBoost,Weighted_F1,0.9328577501255941
2,XGBoost,Macro_Sensitivity,0.9505813953488372
2,XGBoost,Macro_Specificity,0.9700601755943573
2,XGBoost,Class0_Sensitivity,0.875
2,XGBoost,Class0_Specificity,0.9908256880733946
2,XGBoost,Class1_Sensitivity,0.9767441860465116
2,XGBoost,Class1_Specificity,0.9193548387096774
2,XGBoost,Class2_Sensitivity,1.0
2,XGBoost,Class2_Specificity,1.0
2,XGBoost,Class1_AUC,0.9824956239059766
2,XGBoost,Class1_F1,0.84
2,XGBoost,Class1_PPV,0.7368421052631579
2,XGBoost,Class1_NPV,0.9941860465116279
2,LightGBM,Accuracy,0.9170305676855895
2,LightGBM,Kappa,0.8649638434561311
2,LightGBM,Macro_AUC,0.9893885168539841
2,LightGBM,Macro_F1,0.9034525757930013
2,LightGBM,Weighted_F1,0.9184272941589674
2,LightGBM,Macro_Sensitivity,0.9124031007751938
2,LightGBM,Macro_Specificity,0.9570878958271679
2,LightGBM,Class0_Sensitivity,0.9
2,LightGBM,Class0_Specificity,0.9357798165137615
2,LightGBM,Class1_Sensitivity,0.8372093023255814
2,LightGBM,Class1_Specificity,0.9354838709677419
2,LightGBM,Class2_Sensitivity,1.0
2,LightGBM,Class2_Specificity,1.0
2,LightGBM,Class1_AUC,0.9802450612653163
2,LightGBM,Class1_F1,0.7912087912087912
2,LightGBM,Class1_PPV,0.75
2,LightGBM,Class1_NPV,0.9613259668508287
2,MLP,Accuracy,0.9213973799126638
2,MLP,Kappa,0.8753477682351518
2,MLP,Macro_AUC,0.9838077638675724
2,MLP,Macro_F1,0.914390756302521
2,MLP,Weighted_F1,0.9247550548603721
2,MLP,Macro_Sensitivity,0.9450258397932817
2,MLP,Macro_Specificity,0.9664759462036763
2,MLP,Class0_Sensitivity,0.8583333333333333
2,MLP,Class0_Specificity,0.9908256880733946
2,MLP,Class1_Sensitivity,0.9767441860465116
2,MLP,Class1_Specificity,0.9086021505376344
2,MLP,Class2_Sensitivity,1.0
2,MLP,Class2_Specificity,1.0
2,MLP,Class1_AUC,0.9668667166791699
2,MLP,Class1_F1,0.8235294117647058
2,MLP,Class1_PPV,0.711864406779661
2,MLP,Class1_NPV,0.9941176470588236
3,Softmax_LR,Accuracy,0.8864628820960698
3,Softmax_LR,Kappa,0.8216083413231065
3,Softmax_LR,Macro_AUC,0.9814820677646475
3,Softmax_LR,Macro_F1,0.8788450543167524
3,Softmax_LR,Weighted_F1,0.892013152868389
3,Softmax_LR,Macro_Sensitivity,0.9128552971576228
3,Softmax_LR,Macro_Specificity,0.949607050080563
3,Softmax_LR,Class0_Sensitivity,0.8083333333333333
3,Softmax_LR,Class0_Specificity,0.9724770642201835
3,Softmax_LR,Class1_Sensitivity,0.9302325581395349
3,Softmax_LR,Class1_Specificity,0.8763440860215054
3,Softmax_LR,Class2_Sensitivity,1.0
3,Softmax_LR,Class2_Specificity,1.0
3,Softmax_LR,Class1_AUC,0.9652413103275819
3,Softmax_LR,Class1_F1,0.7547169811320755
3,Softmax_LR,Class1_PPV,0.6349206349206349
3,Softmax_LR,Class1_NPV,0.9819277108433735
3,SVM,Accuracy,0.8908296943231441
3,SVM,Kappa,0.8275134825705763
3,SVM,Macro_AUC,0.9810514937602902
3,SVM,Macro_F1,0.8811270443557438
3,SVM,Weighted_F1,0.8968115219745432
3,SVM,Macro_Sensitivity,0.911087620389946
3,SVM,Macro_Specificity,0.9513991647759035
3,SVM,Class0_Sensitivity,0.8333333333333334
3,SVM,Class0_Specificity,0.9724770642201835
3,SVM,Class1_Sensitivity,0.9302325581395349
3,SVM,Class1_Specificity,0.8817204301075269
3,SVM,Class2_Sensitivity,0.9696969696969697
3,SVM,Class2_Specificity,1.0
3,SVM,Class1_AUC,0.9634908727181795
3,SVM,Class1_F1,0.7619047619047619
3,SVM,Class1_PPV,0.6451612903225806
3,SVM,Class1_NPV,0.9820359281437125
3,Decision_Tree,Accuracy,0.9126637554585153
3,Decision_Tree,Kappa,0.8575161772025883
3,Decision_Tree,Macro_AUC,0.9635985831320215
3,Decision_Tree,Macro_F1,0.8976773383553045
3,Decision_Tree,Weighted_F1,0.9138644232271648
3,Decision_Tree,Macro_Sensitivity,0.9046511627906977
3,Decision_Tree,Macro_Specificity,0.9540297918516326
3,Decision_Tree,Class0_Sensitivity,0.9
3,Decision_Tree,Class0_Specificity,0.926605504587156
3,Decision_Tree,Class1_Sensitivity,0.813953488372093
3,Decision_Tree,Class1_Specificity,0.9354838709677419
3,Decision_Tree,Class2_Sensitivity,1.0
3,Decision_Tree,Class2_Specificity,1.0
3,Decision_Tree,Class1_AUC,0.9322330582645662
3,Decision_Tree,Class1_F1,0.7777777777777778
3,Decision_Tree,Class1_PPV,0.7446808510638298
3,Decision_Tree,Class1_NPV,0.9560439560439561
3,Random_Forest,Accuracy,0.8951965065502183
3,Random_Forest,Kappa,0.8322344322344323
3,Random_Forest,Macro_AUC,0.9731495565022753
3,Random_Forest,Macro_F1,0.8832796276405298
3,Random_Forest,Weighted_F1,0.89885506029578
3,Random_Forest,Macro_Sensitivity,0.9034883720930232
3,Random_Forest,Macro_Specificity,0.94939331163066
3,Random_Forest,Class0_Sensitivity,0.85
3,Random_Forest,Class0_Specificity,0.944954128440367
3,Random_Forest,Class1_Sensitivity,0.8604651162790697
3,Random_Forest,Class1_Specificity,0.9032258064516129
3,Random_Forest,Class2_Sensitivity,1.0
3,Random_Forest,Class2_Specificity,1.0
3,Random_Forest,Class1_AUC,0.9491122780695174
3,Random_Forest,Class1_F1,0.7551020408163265
3,Random_Forest,Class1_PPV,0.6727272727272727
3,Random_Forest,Class1_NPV,0.9655172413793104
3,XGBoost,Accuracy,0.9126637554585153
3,XGBoost,Kappa,0.8595350548978715
3,XGBoost,Macro_AUC,0.976560711278737
3,XGBoost,Macro_F1,0.9015700483091788
3,XGBoost,Weighted_F1,0.9153139041832795
3,XGBoost,Macro_Sensitivity,0.9195736434108527
3,XGBoost,Macro_Specificity,0.9578277596922167
3,XGBoost,Class0_Sensitivity,0.875
3,XGBoost,Class0_Specificity,0.9541284403669725
3,XGBoost,Class1_Sensitivity,0.8837209302325582
3,XGBoost,Class1_Specificity,0.9193548387096774
3,XGBoost,Class2_Sensitivity,1.0
3,XGBoost,Class2_Specificity,1.0
3,XGBoost,Class1_AUC,0.9563640910227557
3,XGBoost,Class1_F1,0.7916666666666666
3,XGBoost,Class1_PPV,0.7169811320754716
3,XGBoost,Class1_NPV,0.9715909090909091
3,LightGBM,Accuracy,0.8908296943231441
3,LightGBM,Kappa,0.822320846652804
3,LightGBM,Macro_AUC,0.9791128401366397
3,LightGBM,Macro_F1,0.872963915517107
3,LightGBM,Weighted_F1,0.8926674923144309
3,LightGBM,Macro_Sensitivity,0.8808139534883721
3,LightGBM,Macro_Specificity,0.9425372398145407
3,LightGBM,Class0_Sensitivity,0.875
3,LightGBM,Class0_Specificity,0.908256880733945
3,LightGBM,Class1_Sensitivity,0.7674418604651163
3,LightGBM,Class1_Specificity,0.9193548387096774
3,LightGBM,Class2_Sensitivity,1.0
3,LightGBM,Class2_Specificity,1.0
3,LightGBM,Class1_AUC,0.9611152788197049
3,LightGBM,Class1_F1,0.7252747252747253
3,LightGBM,Class1_PPV,0.6875
3,LightGBM,Class1_NPV,0.9447513812154696
3,MLP,Accuracy,0.9039301310043668
3,MLP,Kappa,0.8483535006923123
3,MLP,Macro_AUC,0.9797730395901727
3,MLP,Macro_F1,0.8964541464541464
3,MLP,Weighted_F1,0.9083491452487086
3,MLP,Macro_Sensitivity,0.9289405684754523
3,MLP,Macro_Specificity,0.9580414981421196
3,MLP,Class0_Sensitivity,0.8333333333333334
3,MLP,Class0_Specificity,0.981651376146789
3,MLP,Class1_Sensitivity,0.9534883720930233
3,MLP,Class1_Specificity,0.8924731182795699
3,MLP,Class2_Sensitivity,1.0
3,MLP,Class2_Specificity,1.0
3,MLP,Class1_AUC,0.9614903725931483
3,MLP,Class1_F1,0.7884615384615384
3,MLP,Class1_PPV,0.6721311475409836
3,MLP,Class1_NPV,0.9880952380952381
4,Softmax_LR,Accuracy,0.9126637554585153
4,Softmax_LR,Kappa,0.8601953601953602
4,Softmax_LR,Macro_AUC,0.9807363920490827
4,Softmax_LR,Macro_F1,0.9027330230337749
4,Softmax_LR,Weighted_F1,0.9157125502464833
4,Softmax_LR,Macro_Sensitivity,0.924547803617571
