Feature,Mean_abs_SHAP_Class1
MCV,0.22647249436026737
mch,0.16198264324855935
green,0.05186983252439476
shine,0.046186931376778116
HB,0.03133858798162323
PDW,0.024157567446324732
FEr,0.02248218660520109
MCHC,0.02041804042990811
RDW-SD,0.018592636598985277
PLT,0.017238843781610513
RDW-CV,0.01494763716247092
HCT,0.009641035089093367
Mentzer,0.007283987596297217
age,0.007239642437175807
RBC,0.006510818849362313
