metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.9114754098360656,0.8786885245901639,0.940983606557377,0.911 (0.879-0.941)
macro_auc,0.9600428187592613,0.9426317033213363,0.9764707652958086,0.960 (0.943-0.976)
macro_f1,0.8844703103913629,0.8428392698818883,0.9233792084254104,0.884 (0.843-0.923)
weighted_f1,0.9110319240724761,0.878120635628368,0.9407067382762885,0.911 (0.878-0.941)
sensitivity,0.879578557981306,0.8372568908692423,0.9222541431376177,0.880 (0.837-0.922)
specificity,0.9684634413307889,0.9565721939076951,0.9792153183911851,0.968 (0.957-0.979)
ppv,0.8900726043583187,0.8489850713176307,0.9302441721363215,0.890 (0.849-0.930)
npv,0.9709890816318996,0.9601327293196114,0.9808156612848646,0.971 (0.960-0.981)
