metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.8721311475409836,0.8360655737704918,0.9081967213114754,0.872 (0.836-0.908)
macro_auc,0.9764795457013479,0.9646065244494493,0.986211609825063,0.976 (0.965-0.986)
macro_f1,0.8337140617554766,0.7855336478214602,0.8794827741676922,0.834 (0.786-0.879)
weighted_f1,0.8726667590976949,0.8358946266376943,0.9095513497505837,0.873 (0.836-0.910)
sensitivity,0.835009523180412,0.7866359708002895,0.8813378983785617,0.835 (0.787-0.881)
specificity,0.9568655918865115,0.94493776976868,0.969814462113842,0.957 (0.945-0.970)
ppv,0.8325898002305033,0.7861758694648092,0.8807875315264746,0.833 (0.786-0.881)
npv,0.956581848628962,0.9443545865091011,0.9692463838231486,0.957 (0.944-0.969)
