metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.8688524590163934,0.8295081967213115,0.9049180327868852,0.869 (0.830-0.905)
macro_auc,0.9447004985105103,0.9197787983925875,0.9666604516777776,0.945 (0.920-0.967)
macro_f1,0.8378481541992453,0.7887121379927298,0.8787316664614869,0.838 (0.789-0.879)
weighted_f1,0.8727905647948156,0.8362762973546572,0.9072107632522682,0.873 (0.836-0.907)
sensitivity,0.8515870132443769,0.8038460027955789,0.8957063250579005,0.852 (0.804-0.896)
specificity,0.9581752545756149,0.9454105965787928,0.9698758842282341,0.958 (0.945-0.970)
ppv,0.8290076724819656,0.7796636365202356,0.8731305466646225,0.829 (0.780-0.873)
npv,0.9534196763499848,0.9403779038857811,0.9663932714386995,0.953 (0.940-0.966)
