metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.898360655737705,0.8655737704918033,0.9311475409836065,0.898 (0.866-0.931)
macro_auc,0.9768210631592222,0.9652401376526528,0.9861432266819162,0.977 (0.965-0.986)
macro_f1,0.8657140078999068,0.8222921481353844,0.9099681170259238,0.866 (0.822-0.910)
weighted_f1,0.8981140640355421,0.8651822097882358,0.9305539119452854,0.898 (0.865-0.931)
sensitivity,0.8634249320166022,0.8188607989595481,0.9107761226073336,0.863 (0.819-0.911)
specificity,0.9652273134882021,0.9538608988654629,0.9759538795904935,0.965 (0.954-0.976)
ppv,0.8683391170233277,0.8248070549571485,0.914109985704478,0.868 (0.825-0.914)
npv,0.9664083433257835,0.9552532381445398,0.9765869856662348,0.966 (0.955-0.977)
