metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.8819672131147541,0.8459016393442623,0.9147540983606557,0.882 (0.846-0.915)
macro_auc,0.9748749002498013,0.963772033643393,0.986043559212066,0.975 (0.964-0.986)
macro_f1,0.8443167701863354,0.7973179048280494,0.8893233916800988,0.844 (0.797-0.889)
weighted_f1,0.8829910056681262,0.8494502753270243,0.9155137967007051,0.883 (0.849-0.916)
sensitivity,0.84808600587905,0.8014738750077476,0.8915917348434519,0.848 (0.801-0.892)
specificity,0.9603754309505075,0.947973304534571,0.9716304588986515,0.960 (0.948-0.972)
ppv,0.8434217931777027,0.796147861445663,0.8926199433284888,0.843 (0.796-0.893)
npv,0.9604714961074075,0.9480406688857993,0.971880526128592,0.960 (0.948-0.972)
