metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.8754098360655738,0.839344262295082,0.9082786885245901,0.875 (0.839-0.908)
macro_auc,0.9830560439806808,0.9736121127842692,0.9904050185185554,0.983 (0.974-0.990)
macro_f1,0.8361714378044359,0.7877769148806092,0.8827427881101435,0.836 (0.788-0.883)
weighted_f1,0.8744583930823843,0.8385245037273912,0.9091850191132179,0.874 (0.839-0.909)
sensitivity,0.8318043949752838,0.784981612941036,0.8803668904856939,0.832 (0.785-0.880)
specificity,0.9570513215902499,0.9445680942894692,0.9689331597672542,0.957 (0.945-0.969)
ppv,0.8425007338866637,0.7929181194582099,0.8905340771693085,0.843 (0.793-0.891)
npv,0.95799651794636,0.946181994821688,0.9700323456952192,0.958 (0.946-0.970)
