metric,point_estimate,ci_lower,ci_upper,display
accuracy,0.8852459016393442,0.8523770491803279,0.9180327868852459,0.885 (0.852-0.918)
macro_auc,0.979620839186234,0.9672162102786555,0.989177682238405,0.980 (0.967-0.989)
macro_f1,0.8472534697928642,0.7998619436404745,0.8931926429074923,0.847 (0.800-0.893)
weighted_f1,0.8849151164595029,0.8499191594523424,0.9186760919459518,0.885 (0.850-0.919)
sensitivity,0.8450694146271647,0.7977620042682144,0.8926576770982669,0.845 (0.798-0.893)
specificity,0.9608308646890388,0.9485355540194076,0.9728218284955159,0.961 (0.949-0.973)
ppv,0.8495451276789673,0.8047287100172609,0.8962354195381227,0.850 (0.805-0.896)
npv,0.9617045644546831,0.950164208843724,0.9735402938746529,0.962 (0.950-0.974)
